,20070620,20070621,20070622,20070625,20070626,20070627,20070628,20070629,20070702,20070703,20070705,20070706,20070709,20070710,20070711,20070712,20070713,20070716,20070717,20070718,20070719,20070720,20070723,20070724,20070725,20070726,20070727,20070730,20070731,20070801,20070802,20070803,20070806,20070807,20070808,20070809,20070810,20070813,20070814,20070815,20070816,20070817,20070820,20070821,20070822,20070823,20070824,20070827,20070828,20070829,20070830,20070831,20070904,20070905,20070906,20070907,20070910,20070911,20070912,20070913,20070914,20070917,20070918,20070919,20070920
AAPL,6000341,4978153,4109904,6165410,7252147,4908695,5244991,5804802,3691991,6958302,10888098,4436802,7245377,5697871,3128694,4362690,5934198,5330141,5043002,5191702,5815497,6330685,5143777,8854745,4956999,7560198,4651009,3590409,5571352,5789950,3347452,3438924,3376607,2933617,3467088,3623150,5416944,2749109,2587994,4091307,9153447,4574966,3490253,5164831,5699501,4410089,5151752,3699707,4328546,5903268,6038187,3984311,7630090,7055021,7479899,8464386,8011442,4917377,6057035,4033699,3213656,3760899,5251102,4940084,4339280
AMZN,1870124,1281497,1269804,1699796,2624982,2011134,1877332,1534718,1203346,666668,1284557,1098740,1617406,1627621,1088030,1697896,1527144,1843316,1545764,1485467,801291,1319897,1133770,1575028,5309436,2439659,1537339,1281868,1526461,1780049,1348037,1104213,1178652,1199227,982570,861460,831142,648346,631475,780474,1178178,673161,644151,846255,697228,583914,817964,749823,680472,554945,548444,785543,1121633,807090,839793,1000193,640791,898695,841866,780517,460411,743652,848588,721055,825011
GOOG,663108,443598,626678,685758,539426,648382,364736,348799,297317,230284,452657,264609,348603,434526,1235721,315039,495823,473101,455487,1175742,581586,1434157,599144,755329,1019240,890512,1194319,480475,1082762,822765,467826,544874,647773,512676,572773,734672,1015277,376647,683137,745777,1330137,599193,422146,753636,357535,433937,334259,304089,397126,402647,379157,336628,322826,421385,384029,467833,365905,311503,328193,197373,211150,290062,327576,519196,600287
JNJ,2884737,4050303,5404321,4507142,3678586,5381829,4103518,3335120,3480100,1917366,3022045,2432380,5204042,5321543,3207605,3641496,2191453,3550512,4853072,2938659,3630114,3051908,2893424,2239599,2358221,3410654,4775708,2954146,3718763,3555974,3967050,3237685,4177153,2965678,2308647,5045967,1960541,1397603,3402322,2401436,4374784,3023347,2505880,2104582,3725538,2289457,2499115,2409696,3096183,2593412,1824618,2775321,3197750,3768035,3119937,4960986,2901260,3335238,2483159,4640037,3676758,3830467,3507324,4603349,10019376
JPM,4774539,7241400,9247081,5692328,7366557,5785508,6877836,8393704,6791001,2674784,5523062,5658401,4246100,10631571,10138114,9550960,7226204,4273155,5112363,7831620,5412257,6680563,5464011,10899237,12513937,13050469,12642910,7774887,9745196,13586205,14058256,25981752,14824805,9195223,6418928,9427306,9323189,8123198,6744699,9270247,8537429,20501012,9234292,7140255,11001828,7880159,5853318,5993237,11566947,6403626,4846085,4307272,6905025,8078968,5973254,7338738,7202164,5751468,5359773,6842586,5599103,5008055,8132994,8559900,5904411
MSFT,62801659,64021477,73774403,85944718,82808889,80617447,59187553,87703418,68362034,37955801,71536497,78735462,81093980,85845161,61370179,75577276,56261307,66248876,100501277,74358783,305942902,116321287,78934796,90178889,80603735,79228350,55528677,50447047,58347780,98633650,68173162,93379753,78619585,62331256,62718245,48888941,61704324,48103118,41894835,48990239,56686971,80268867,68980485,55610384,94209360,77508797,72774163,58709959,62739981,82575738,55035944,54986247,77897554,66183212,76215361,72441943,58844051,65812878,70296053,62861472,48258146,51574095,63540050,123756265,134144623
NVDA,3485194,4476530,3385920,3330082,4245655,3724716,3665458,2400332,3314658,990569,3594092,1792763,3338892,3340433,2143263,2732563,1643110,2865859,3508551,2208110,1877876,2180064,1575137,2063103,1485081,2083332,2141863,1606900,2133111,1840478,1657058,2972257,1890306,1628181,1237728,1864853,2134606,1410828,4643584,1578149,1802018,2338669,1594325,1642926,1592861,1535091,1246874,2118055,1202078,1524021,1133290,2568015,1813456,1608162,1042905,1740775,1999794,2959917,2999906,3156368,2177403,1581521,3622444,4868889,3000330
